Species,Strain,Protein,DNA,Short,Lineage
Aspergillus foetidus,LH_A311,Aspergillus_foetidus_LH_A311.proteins.fa,Aspergillus_foetidus_LH_A311.scaffolds.fa,Aspefoet,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fructus,NRRL 239,Aspergillus_fructus_NRRL_239.proteins.fa,Aspergillus_fructus_NRRL_239.scaffolds.fa,Aspefruc,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatiaffinis,Af10110,Aspergillus_fumigatiaffinis_Af10110.proteins.fa,Aspergillus_fumigatiaffinis_Af10110.scaffolds.fa,Aspefumi,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatiaffinis,CNM-CM5878,Aspergillus_fumigatiaffinis_CNM-CM5878.proteins.fa,Aspergillus_fumigatiaffinis_CNM-CM5878.scaffolds.fa,Aspefum2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatiaffinis,CNM-CM6457,Aspergillus_fumigatiaffinis_CNM-CM6457.proteins.fa,Aspergillus_fumigatiaffinis_CNM-CM6457.scaffolds.fa,Aspefum3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatiaffinis,CNM-CM6805,Aspergillus_fumigatiaffinis_CNM-CM6805.proteins.fa,Aspergillus_fumigatiaffinis_CNM-CM6805.scaffolds.fa,Aspefum4,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatiaffinis,CNM-CM8980,Aspergillus_fumigatiaffinis_CNM-CM8980.proteins.fa,Aspergillus_fumigatiaffinis_CNM-CM8980.scaffolds.fa,Aspefum5,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,,Aspergillus_fumigatus.proteins.fa,Aspergillus_fumigatus.scaffolds.fa,Aspefum6,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,0030661546 AFU 25-06,Aspergillus_fumigatus_0030661546_AFU_25-06.proteins.fa,Aspergillus_fumigatus_0030661546_AFU_25-06.scaffolds.fa,Aspefum7,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,0040675686 AFU 30-06,Aspergillus_fumigatus_0040675686_AFU_30-06.proteins.fa,Aspergillus_fumigatus_0040675686_AFU_30-06.scaffolds.fa,Aspefum8,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,070 01-70-BAL-1,Aspergillus_fumigatus_070_01-70-BAL-1.proteins.fa,Aspergillus_fumigatus_070_01-70-BAL-1.scaffolds.fa,Aspefum9,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,47-10,Aspergillus_fumigatus_47-10.proteins.fa,Aspergillus_fumigatus_47-10.scaffolds.fa,Aspefu10,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,5.1TA,Aspergillus_fumigatus_5.1TA.proteins.fa,Aspergillus_fumigatus_5.1TA.scaffolds.fa,Aspefu11,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,A-2-36s-3,Aspergillus_fumigatus_A-2-36s-3.proteins.fa,Aspergillus_fumigatus_A-2-36s-3.scaffolds.fa,Aspefu12,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,A-2-43L-2,Aspergillus_fumigatus_A-2-43L-2.proteins.fa,Aspergillus_fumigatus_A-2-43L-2.scaffolds.fa,Aspefu13,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,A-2-44L-2,Aspergillus_fumigatus_A-2-44L-2.proteins.fa,Aspergillus_fumigatus_A-2-44L-2.scaffolds.fa,Aspefu14,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,A-2-45L-5,Aspergillus_fumigatus_A-2-45L-5.proteins.fa,Aspergillus_fumigatus_A-2-45L-5.scaffolds.fa,Aspefu15,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,A-2-47L-2,Aspergillus_fumigatus_A-2-47L-2.proteins.fa,Aspergillus_fumigatus_A-2-47L-2.scaffolds.fa,Aspefu16,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,A-2-47s-3,Aspergillus_fumigatus_A-2-47s-3.proteins.fa,Aspergillus_fumigatus_A-2-47s-3.scaffolds.fa,Aspefu17,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,A-2-48s-2,Aspergillus_fumigatus_A-2-48s-2.proteins.fa,Aspergillus_fumigatus_A-2-48s-2.scaffolds.fa,Aspefu18,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,A-2-49L-2,Aspergillus_fumigatus_A-2-49L-2.proteins.fa,Aspergillus_fumigatus_A-2-49L-2.scaffolds.fa,Aspefu19,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,A-2-49L-5,Aspergillus_fumigatus_A-2-49L-5.proteins.fa,Aspergillus_fumigatus_A-2-49L-5.scaffolds.fa,Aspefu20,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,A-3-30s-2,Aspergillus_fumigatus_A-3-30s-2.proteins.fa,Aspergillus_fumigatus_A-3-30s-2.scaffolds.fa,Aspefu21,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,A-3-45L-2,Aspergillus_fumigatus_A-3-45L-2.proteins.fa,Aspergillus_fumigatus_A-3-45L-2.scaffolds.fa,Aspefu22,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,AF100-9B,Aspergillus_fumigatus_AF100-9B.proteins.fa,Aspergillus_fumigatus_AF100-9B.scaffolds.fa,Aspefu23,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,Afir964,Aspergillus_fumigatus_Afir964.proteins.fa,Aspergillus_fumigatus_Afir964.scaffolds.fa,Aspefu24,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,ATCC 42202,Aspergillus_fumigatus_ATCC_42202.proteins.fa,Aspergillus_fumigatus_ATCC_42202.scaffolds.fa,Aspefu25,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,B-1-27-5,Aspergillus_fumigatus_B-1-27-5.proteins.fa,Aspergillus_fumigatus_B-1-27-5.scaffolds.fa,Aspefu26,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,B-1-32-3,Aspergillus_fumigatus_B-1-32-3.proteins.fa,Aspergillus_fumigatus_B-1-32-3.scaffolds.fa,Aspefu27,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,B-1-43-1,Aspergillus_fumigatus_B-1-43-1.proteins.fa,Aspergillus_fumigatus_B-1-43-1.scaffolds.fa,Aspefu28,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,B-1-45-5,Aspergillus_fumigatus_B-1-45-5.proteins.fa,Aspergillus_fumigatus_B-1-45-5.scaffolds.fa,Aspefu29,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,B-1-66L-1,Aspergillus_fumigatus_B-1-66L-1.proteins.fa,Aspergillus_fumigatus_B-1-66L-1.scaffolds.fa,Aspefu30,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,B-1-66s-1,Aspergillus_fumigatus_B-1-66s-1.proteins.fa,Aspergillus_fumigatus_B-1-66s-1.scaffolds.fa,Aspefu31,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,B-1-68s-1,Aspergillus_fumigatus_B-1-68s-1.proteins.fa,Aspergillus_fumigatus_B-1-68s-1.scaffolds.fa,Aspefu32,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,B-1-75L-1,Aspergillus_fumigatus_B-1-75L-1.proteins.fa,Aspergillus_fumigatus_B-1-75L-1.scaffolds.fa,Aspefu33,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,C-1-24L-3,Aspergillus_fumigatus_C-1-24L-3.proteins.fa,Aspergillus_fumigatus_C-1-24L-3.scaffolds.fa,Aspefu34,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,C-1-28L-1,Aspergillus_fumigatus_C-1-28L-1.proteins.fa,Aspergillus_fumigatus_C-1-28L-1.scaffolds.fa,Aspefu35,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,C-1-33L-1,Aspergillus_fumigatus_C-1-33L-1.proteins.fa,Aspergillus_fumigatus_C-1-33L-1.scaffolds.fa,Aspefu36,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,C-1-33L-2,Aspergillus_fumigatus_C-1-33L-2.proteins.fa,Aspergillus_fumigatus_C-1-33L-2.scaffolds.fa,Aspefu37,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,C-1-34s-1,Aspergillus_fumigatus_C-1-34s-1.proteins.fa,Aspergillus_fumigatus_C-1-34s-1.scaffolds.fa,Aspefu38,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,C-1-60L-1,Aspergillus_fumigatus_C-1-60L-1.proteins.fa,Aspergillus_fumigatus_C-1-60L-1.scaffolds.fa,Aspefu39,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,C-1-66L-3,Aspergillus_fumigatus_C-1-66L-3.proteins.fa,Aspergillus_fumigatus_C-1-66L-3.scaffolds.fa,Aspefu40,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,C-1-69L-1,Aspergillus_fumigatus_C-1-69L-1.proteins.fa,Aspergillus_fumigatus_C-1-69L-1.scaffolds.fa,Aspefu41,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,C-1-69s-1,Aspergillus_fumigatus_C-1-69s-1.proteins.fa,Aspergillus_fumigatus_C-1-69s-1.scaffolds.fa,Aspefu42,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,C-1-6s-2,Aspergillus_fumigatus_C-1-6s-2.proteins.fa,Aspergillus_fumigatus_C-1-6s-2.scaffolds.fa,Aspefu43,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,C-1-76s-1,Aspergillus_fumigatus_C-1-76s-1.proteins.fa,Aspergillus_fumigatus_C-1-76s-1.scaffolds.fa,Aspefu44,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,C-1-76s-2,Aspergillus_fumigatus_C-1-76s-2.proteins.fa,Aspergillus_fumigatus_C-1-76s-2.scaffolds.fa,Aspefu45,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,C-1-77s-2,Aspergillus_fumigatus_C-1-77s-2.proteins.fa,Aspergillus_fumigatus_C-1-77s-2.scaffolds.fa,Aspefu46,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,C-1-90L-1,Aspergillus_fumigatus_C-1-90L-1.proteins.fa,Aspergillus_fumigatus_C-1-90L-1.scaffolds.fa,Aspefu47,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,C-1-93L-3,Aspergillus_fumigatus_C-1-93L-3.proteins.fa,Aspergillus_fumigatus_C-1-93L-3.scaffolds.fa,Aspefu48,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,C-1-94L-2,Aspergillus_fumigatus_C-1-94L-2.proteins.fa,Aspergillus_fumigatus_C-1-94L-2.scaffolds.fa,Aspefu49,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,C-1-99L-2,Aspergillus_fumigatus_C-1-99L-2.proteins.fa,Aspergillus_fumigatus_C-1-99L-2.scaffolds.fa,Aspefu50,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,CAPA A,Aspergillus_fumigatus_CAPA_A.proteins.fa,Aspergillus_fumigatus_CAPA_A.scaffolds.fa,Aspefu51,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,CEA10,Aspergillus_fumigatus_CEA10.proteins.fa,Aspergillus_fumigatus_CEA10.scaffolds.fa,Aspefu52,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,CNM-CM8686,Aspergillus_fumigatus_CNM-CM8686.proteins.fa,Aspergillus_fumigatus_CNM-CM8686.scaffolds.fa,Aspefu53,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,D-2-15L-2,Aspergillus_fumigatus_D-2-15L-2.proteins.fa,Aspergillus_fumigatus_D-2-15L-2.scaffolds.fa,Aspefu54,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,D-2-15L-3,Aspergillus_fumigatus_D-2-15L-3.proteins.fa,Aspergillus_fumigatus_D-2-15L-3.scaffolds.fa,Aspefu55,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,D-2-17L-1,Aspergillus_fumigatus_D-2-17L-1.proteins.fa,Aspergillus_fumigatus_D-2-17L-1.scaffolds.fa,Aspefu56,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,D-2-22s-1,Aspergillus_fumigatus_D-2-22s-1.proteins.fa,Aspergillus_fumigatus_D-2-22s-1.scaffolds.fa,Aspefu57,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,D-2-24s-1,Aspergillus_fumigatus_D-2-24s-1.proteins.fa,Aspergillus_fumigatus_D-2-24s-1.scaffolds.fa,Aspefu58,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,D-2-25L-3,Aspergillus_fumigatus_D-2-25L-3.proteins.fa,Aspergillus_fumigatus_D-2-25L-3.scaffolds.fa,Aspefu59,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,D-2-26s-1,Aspergillus_fumigatus_D-2-26s-1.proteins.fa,Aspergillus_fumigatus_D-2-26s-1.scaffolds.fa,Aspefu60,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,D-2-28L-1,Aspergillus_fumigatus_D-2-28L-1.proteins.fa,Aspergillus_fumigatus_D-2-28L-1.scaffolds.fa,Aspefu61,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,D-2-29s-1,Aspergillus_fumigatus_D-2-29s-1.proteins.fa,Aspergillus_fumigatus_D-2-29s-1.scaffolds.fa,Aspefu62,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,D-2-32L-1,Aspergillus_fumigatus_D-2-32L-1.proteins.fa,Aspergillus_fumigatus_D-2-32L-1.scaffolds.fa,Aspefu63,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,D-2-38L-1,Aspergillus_fumigatus_D-2-38L-1.proteins.fa,Aspergillus_fumigatus_D-2-38L-1.scaffolds.fa,Aspefu64,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,D-2-39L-2,Aspergillus_fumigatus_D-2-39L-2.proteins.fa,Aspergillus_fumigatus_D-2-39L-2.scaffolds.fa,Aspefu65,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,D-2-43L-1,Aspergillus_fumigatus_D-2-43L-1.proteins.fa,Aspergillus_fumigatus_D-2-43L-1.scaffolds.fa,Aspefu66,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,D-2-43L-2,Aspergillus_fumigatus_D-2-43L-2.proteins.fa,Aspergillus_fumigatus_D-2-43L-2.scaffolds.fa,Aspefu67,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,D-2-47L-2,Aspergillus_fumigatus_D-2-47L-2.proteins.fa,Aspergillus_fumigatus_D-2-47L-2.scaffolds.fa,Aspefu68,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,D-2-48L-1,Aspergillus_fumigatus_D-2-48L-1.proteins.fa,Aspergillus_fumigatus_D-2-48L-1.scaffolds.fa,Aspefu69,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,E-1-14-1,Aspergillus_fumigatus_E-1-14-1.proteins.fa,Aspergillus_fumigatus_E-1-14-1.scaffolds.fa,Aspefu70,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,E-1-49-1,Aspergillus_fumigatus_E-1-49-1.proteins.fa,Aspergillus_fumigatus_E-1-49-1.scaffolds.fa,Aspefu71,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,F-1-13L-1,Aspergillus_fumigatus_F-1-13L-1.proteins.fa,Aspergillus_fumigatus_F-1-13L-1.scaffolds.fa,Aspefu72,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,F-1-4L-1,Aspergillus_fumigatus_F-1-4L-1.proteins.fa,Aspergillus_fumigatus_F-1-4L-1.scaffolds.fa,Aspefu73,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,F2,Aspergillus_fumigatus_F2.proteins.fa,Aspergillus_fumigatus_F2.scaffolds.fa,Aspefu74,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,G-2-22-4,Aspergillus_fumigatus_G-2-22-4.proteins.fa,Aspergillus_fumigatus_G-2-22-4.scaffolds.fa,Aspefu75,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,H-1-21-5,Aspergillus_fumigatus_H-1-21-5.proteins.fa,Aspergillus_fumigatus_H-1-21-5.scaffolds.fa,Aspefu76,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,I-1-32-1,Aspergillus_fumigatus_I-1-32-1.proteins.fa,Aspergillus_fumigatus_I-1-32-1.scaffolds.fa,Aspefu77,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,IF1SW-F4,Aspergillus_fumigatus_IF1SW-F4.proteins.fa,Aspergillus_fumigatus_IF1SW-F4.scaffolds.fa,Aspefu78,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,L-2-16-3,Aspergillus_fumigatus_L-2-16-3.proteins.fa,Aspergillus_fumigatus_L-2-16-3.scaffolds.fa,Aspefu79,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,L-3-24-3,Aspergillus_fumigatus_L-3-24-3.proteins.fa,Aspergillus_fumigatus_L-3-24-3.scaffolds.fa,Aspefu80,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,M.20.0011027,Aspergillus_fumigatus_M.20.0011027.proteins.fa,Aspergillus_fumigatus_M.20.0011027.scaffolds.fa,Aspefu81,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,NRZ-2015-218,Aspergillus_fumigatus_NRZ-2015-218.proteins.fa,Aspergillus_fumigatus_NRZ-2015-218.scaffolds.fa,Aspefu82,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,NRZ-2018-290,Aspergillus_fumigatus_NRZ-2018-290.proteins.fa,Aspergillus_fumigatus_NRZ-2018-290.scaffolds.fa,Aspefu83,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,PB30-11,Aspergillus_fumigatus_PB30-11.proteins.fa,Aspergillus_fumigatus_PB30-11.scaffolds.fa,Aspefu84,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,PB4205,Aspergillus_fumigatus_PB4205.proteins.fa,Aspergillus_fumigatus_PB4205.scaffolds.fa,Aspefu85,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,PF1804,Aspergillus_fumigatus_PF1804.proteins.fa,Aspergillus_fumigatus_PF1804.scaffolds.fa,Aspefu86,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,PM4304,Aspergillus_fumigatus_PM4304.proteins.fa,Aspergillus_fumigatus_PM4304.scaffolds.fa,Aspefu87,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus fumigatus,Z5,Aspergillus_fumigatus_Z5.proteins.fa,Aspergillus_fumigatus_Z5.scaffolds.fa,Aspefu88,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus glaucus,CBS 516.65,Aspergillus_glaucus_CBS_516.65.proteins.fa,Aspergillus_glaucus_CBS_516.65.scaffolds.fa,Aspeglau,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus haitiensis,NRRL 4568,Aspergillus_haitiensis_NRRL_4568.proteins.fa,Aspergillus_haitiensis_NRRL_4568.scaffolds.fa,Aspehait,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus hancockii,FRR 3425,Aspergillus_hancockii_FRR_3425.proteins.fa,Aspergillus_hancockii_FRR_3425.scaffolds.fa,Aspehanc,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus hiratsukae,CNM-CM6106,Aspergillus_hiratsukae_CNM-CM6106.proteins.fa,Aspergillus_hiratsukae_CNM-CM6106.scaffolds.fa,Aspehira,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus ibericus,CBS 121593,Aspergillus_ibericus_CBS_121593.proteins.fa,Aspergillus_ibericus_CBS_121593.scaffolds.fa,Aspeiber,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus incahuasiensis,NRRL 66825,Aspergillus_incahuasiensis_NRRL_66825.proteins.fa,Aspergillus_incahuasiensis_NRRL_66825.scaffolds.fa,Aspeinca,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus intermedius,E25,Aspergillus_intermedius_E25.proteins.fa,Aspergillus_intermedius_E25.scaffolds.fa,Aspeinte,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus intermedius,NRRL 82,Aspergillus_intermedius_NRRL_82.proteins.fa,Aspergillus_intermedius_NRRL_82.scaffolds.fa,Aspeint2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus japonicus,CBS 114.51,Aspergillus_japonicus_CBS_114.51.proteins.fa,Aspergillus_japonicus_CBS_114.51.scaffolds.fa,Aspejapo,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus japonicus,PSFR,Aspergillus_japonicus_PSFR.proteins.fa,Aspergillus_japonicus_PSFR.scaffolds.fa,Aspejap2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus japonicus,Y4009A,Aspergillus_japonicus_Y4009A.proteins.fa,Aspergillus_japonicus_Y4009A.scaffolds.fa,Aspejap3,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus jensenii,C4_18042019,Aspergillus_jensenii_C4_18042019.proteins.fa,Aspergillus_jensenii_C4_18042019.scaffolds.fa,Aspejens,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus jensenii,LH_A344,Aspergillus_jensenii_LH_A344.proteins.fa,Aspergillus_jensenii_LH_A344.scaffolds.fa,Aspejen2,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus kassunensis,NRRL 3752,Aspergillus_kassunensis_NRRL_3752.proteins.fa,Aspergillus_kassunensis_NRRL_3752.scaffolds.fa,Aspekass,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus luteorubrus,MST-FP2246,Aspergillus_luteorubrus_MST-FP2246.proteins.fa,Aspergillus_luteorubrus_MST-FP2246.scaffolds.fa,Aspelute,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus magnivesiculatus,EXF-10353,Aspergillus_magnivesiculatus_EXF-10353.proteins.fa,Aspergillus_magnivesiculatus_EXF-10353.scaffolds.fa,Aspemagn,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
Aspergillus melleus,CBS 546.65,Aspergillus_melleus_CBS_546.65.proteins.fa,Aspergillus_melleus_CBS_546.65.scaffolds.fa,Aspemell,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
